Crosspost,Original,Exists
pdmieu,pdg017,False
pdki9l,p3kx6t,True
pde1wj,p0itix,False
pd8zrn,pd8z8a,False
pd212r,pcuuxv,False
pd1jgs,pcxbkg,False
pczoxc,pc7zk3,False
pcusxf,pcuri0,False
pcqh2x,pb3zw4,False
pchud1,pc45hl,False
pcb1pm,pcaqfo,False
pc7636,pc4s8s,False
pc51h9,p339sz,False
pc1kxi,pc1kpc,False
pc0b7z,pc0aos,False
pbthqz,pbe8nj,False
pbm1lh,pb8rsm,False
pblnmb,pb3nvn,False
pbjxan,pbe8nj,False
pbguax,pbf6xp,True
pbbqce,pbbmc0,False
pb1emm,pamr7i,False
pazbig,payz4h,False
paxpby,pato1f,False
pas9p6,pas5oe,False
pam3vi,paiv5n,False
palvi3,palsot,False
pafpiz,pafmqn,False
paff23,pa8xzt,False
pacuxu,pa6n2b,False
paci9a,pa00vu,True
pa5d85,pa18n4,True
pa4k9s,p9q2v0,False
pa3mme,p9z7c3,False
pa2dr0,p9x867,False
pa2018,p9xfjh,False
pa1jg5,p9w99k,True
pa18th,pa038l,True
pa0mjd,pa0hy2,False
p9wjvf,p9wjo9,False
p9t9a9,p9t6wz,False
p9nx2c,p99nu6,False
p9kq1t,p9kpug,False
p9df4y,p9de8z,False
p983qs,p97esy,False
p96fii,p96bjq,False
p9564t,p94t7z,False
p94i6i,p8z3o6,False
p94cvm,p8rns2,False
p94cly,p949hj,False
p8xqbv,p8wzip,False
p8uxwe,p8qhtp,False
p8mkva,p8jh39,False
p8kiin,p8kfaa,False
p89cgb,p7rfsa,False
p892z5,p83xh4,False
p86mk5,p84kl3,False
p83nly,p82tgn,False
p7nz2p,p7cz3r,False
p7lqq2,p7lq25,False
p7kkn9,p7k77w,False
p7jtm2,p7hnou,False
p7glzx,p7gjav,False
p791lf,p790zn,False
p73ad5,p68zss,False
p6w7ra,p6vxj2,False
p6uhws,p6uhan,False
p6slwy,p6slpy,False
p6ru92,p6rsgt,True
p6ria5,p6pwzu,False
p6rdup,p6dkea,False
p6k3gq,p6k1gc,False
p6gciw,p6fzc9,False
p6egzb,p6dw18,False
p65hfc,me8c8n,False
p5wx0x,p4ubzx,False
p5oerf,p5g9t1,True
p5kvij,p5kul4,False
p5a8n2,p597if,False
p55kz0,p4dtie,False
p50zva,p4sp2z,False
p4wnpl,p4vamq,False
p4lzc1,p4hgf8,True
p4j682,p3unu3,False
p4g8gk,p3o9ou,False
p4eg8n,p3iuhk,False
p4c3nx,p45t89,False
p448gx,p3tu8y,True
p3yt9g,p3rilx,True
p3x3ks,p3tu8y,True
p3qhss,p3miq1,False
p3o41k,p3m6kf,True
p3jbru,p3ewcs,False
p3eszl,p2oedg,False
p3d3d4,p39008,False
p33q3b,p2xus2,True
p2qpn1,p2leht,False
p20erx,p1yenz,False
p1vag1,p1v34g,False
p1uw9v,p1tt55,False
p1p4x6,p1d3pk,False
p1oxoh,p1d3sy,False
p8q6uf,p8e2xh,False
pepqd0,pepowu,False
pdlnim,pdh5jo,False
pd9rsv,pcx36i,False
pd9b1w,pd96vn,True
pcs8yu,pcoji2,True
pcef1x,pbycr7,True
pcc03d,pcbtwy,True
pcaxgc,pcaqfo,False
pcapyh,pcadaq,False
pbxvko,pbxrxg,False
pbxg5d,pbmx0u,False
pbs42w,pbryls,False
pbbndt,pbbmc0,False
pafnfz,pafmqn,False
paea88,pa985g,False
pa2gzf,p9x867,False
pa1xiw,p9xfjh,False
pa1fx4,p9w99k,True
pa0jp6,pa0hy2,False
p9t7dm,p9t6wz,False
p9iyc8,p9it31,True
p9fp9k,p9a34s,False
p9eghr,p93lyk,False
p9dq4j,p97g0n,False
p955zi,p94t7z,False
p8wo7n,p8n7f9,False
p8kkwk,p8kfaa,False
p7ko2g,p7k77w,False
p7ep0t,p6smz1,False
p7eeo2,p7cnw7,False
p6rf0i,p6pwzu,False
p6k1u2,p6k1gc,False
p6g18f,p6fzc9,False
p5kwgk,p5kul4,False
p4s1v2,p4rxct,True
p4dnwh,p4dm05,True
p4brnw,p4bqry,True
p4baya,p49vyr,True
p4au94,p4aptt,False
p3x0rj,p3cg34,False
p3h1pl,p3gq20,False
p39bch,p39av0,False
p2fksh,p2fh4d,False
pc0z8g,pbe8nj,False
